SUCURSAL,FECHA,FOLIO_INTERNO,UUID_FISCAL,ESTATUS,CLIENTE,RFC,ARTICULO,CANTIDAD,PRECIO_UNITARIO,IMPORTE_RENGLON,SUBTOTAL_FACTURA,IMPUESTOS_FACTURA,TOTAL_FACTURA,USO_CFDI,METODO_PAGO
Tienda 1,2023-08-20,Fact 6892,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 384,1.0,0.54,0.55,128.67,20.8,150.69,G03 ,PUE
Tienda 1,2023-08-20,Fact 6892,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 385,1.0,1.08,1.09,132.11,20.59,153.56,G03 ,PUE
Tienda 1,2023-08-21,Fact 6893,UUID 1,VIGENTE,Cliente 56,INFORMACION_PROTEGIDA,Prod 386,1.0,25.02,25.39,24.94,4.06,29.24,G03 ,PUE
Tienda 1,2023-08-21,Fact 6894,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 387,2.0,9.4,18.53,35.6,5.66,40.73,G03 ,PUE
Tienda 1,2023-08-21,Fact 6894,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 156,2.0,8.31,16.41,35.34,5.62,41.04,G03 ,PUE
Tienda 1,2023-08-21,Fact 6895,UUID 1,VIGENTE,Cliente 63,INFORMACION_PROTEGIDA,Prod 388,2.0,59.04,118.48,119.51,19.25,138.55,G03 ,PUE
Tienda 1,2023-08-21,Fact 6896,UUID 1,VIGENTE,Cliente 8,INFORMACION_PROTEGIDA,Prod 389,2.0,138.32,283.05,279.63,44.64,327.97,G03 ,PUE
Tienda 1,2023-08-21,Fact 6897,UUID 1,VIGENTE,Cliente 64,INFORMACION_PROTEGIDA,Prod 388,2.0,59.66,119.68,129.51,20.49,152.09,G03 ,PUE
Tienda 1,2023-08-21,Fact 6897,UUID 1,VIGENTE,Cliente 64,INFORMACION_PROTEGIDA,Prod 390,2.0,4.97,9.78,131.24,20.88,148.48,G03 ,PUE
Tienda 1,2023-08-21,Fact 6898,UUID 1,VIGENTE,Cliente 59,INFORMACION_PROTEGIDA,Prod 391,1.0,10.34,10.33,62.99,10.29,74.2,G03 ,PUE
Tienda 1,2023-08-21,Fact 6898,UUID 1,VIGENTE,Cliente 59,INFORMACION_PROTEGIDA,Prod 392,2.0,4.93,9.88,63.7,10.06,74.37,G03 ,PUE
Tienda 1,2023-08-21,Fact 6898,UUID 1,VIGENTE,Cliente 59,INFORMACION_PROTEGIDA,Prod 71,6.0,5.42,32.5,62.96,10.07,73.01,G03 ,PUE
Tienda 1,2023-08-21,Fact 6898,UUID 1,VIGENTE,Cliente 59,INFORMACION_PROTEGIDA,Prod 98,1.0,10.33,10.44,64.49,10.26,74.53,G03 ,PUE
Tienda 1,2023-08-22,Fact 6899,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 393,1.0,119.08,117.32,194.98,31.35,226.97,G03 ,PUE
Tienda 1,2023-08-22,Fact 6899,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 394,1.0,15.83,15.88,197.61,31.42,226.76,G03 ,PUE
Tienda 1,2023-08-22,Fact 6899,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 395,1.0,61.7,63.12,196.33,31.22,230.18,G03 ,PUE
Tienda 1,2023-08-22,Fact 6900,UUID 1,VIGENTE,Cliente 51,INFORMACION_PROTEGIDA,Prod 71,3.0,5.48,16.57,146.05,22.85,165.66,G03 ,PUE
Tienda 1,2023-08-22,Fact 6900,UUID 1,VIGENTE,Cliente 51,INFORMACION_PROTEGIDA,Prod 396,4.0,8.25,33.17,142.56,22.98,169.16,G03 ,PUE
Tienda 1,2023-08-22,Fact 6900,UUID 1,VIGENTE,Cliente 51,INFORMACION_PROTEGIDA,Prod 397,1.0,12.15,12.06,143.94,23.09,170.2,G03 ,PUE
Tienda 1,2023-08-22,Fact 6900,UUID 1,VIGENTE,Cliente 51,INFORMACION_PROTEGIDA,Prod 278,3.0,11.9,35.91,146.01,23.41,166.02,G03 ,PUE
Tienda 1,2023-08-22,Fact 6900,UUID 1,VIGENTE,Cliente 51,INFORMACION_PROTEGIDA,Prod 40,50.0,0.58,28.41,145.38,23.21,170.05,G03 ,PUE
Tienda 1,2023-08-22,Fact 6900,UUID 1,VIGENTE,Cliente 51,INFORMACION_PROTEGIDA,Prod 398,1.0,18.89,18.57,145.48,23.19,167.99,G03 ,PUE
Tienda 1,2023-08-22,Fact 6901,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 399,1.0,15.94,15.77,15.85,2.56,18.58,G03 ,PUE
Tienda 1,2023-08-22,Fact 6902,UUID 1,VIGENTE,Cliente 25,INFORMACION_PROTEGIDA,Prod 72,1.0,168.42,168.24,170.07,26.88,195.21,G03 ,PUE
Tienda 1,2023-08-22,Fact 6903,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 400,1.0,26.75,27.17,133.47,20.95,151.27,G03 ,PUE
Tienda 1,2023-08-22,Fact 6903,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 401,1.0,29.03,29.24,132.41,21.29,152.12,G03 ,PUE
Tienda 1,2023-08-22,Fact 6903,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 402,1.0,24.34,24.33,130.88,21.2,153.65,G03 ,PUE
Tienda 1,2023-08-22,Fact 6903,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 403,1.0,26.64,27.16,132.17,21.35,152.7,G03 ,PUE
Tienda 1,2023-08-22,Fact 6903,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 404,1.0,24.54,24.65,131.31,21.44,151.83,G03 ,PUE
Tienda 1,2023-08-22,Fact 6904,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 405,1.0,28.62,28.74,29.29,4.64,33.3,G03 ,PUE
Tienda 1,2023-08-22,Fact 6905,UUID 1,VIGENTE,Cliente 23,INFORMACION_PROTEGIDA,Prod 406,3.0,4.92,14.63,79.46,12.66,92.32,G03 ,PUE
Tienda 1,2023-08-22,Fact 6905,UUID 1,VIGENTE,Cliente 23,INFORMACION_PROTEGIDA,Prod 387,1.0,9.22,9.31,79.83,12.68,93.7,G03 ,PUE
Tienda 1,2023-08-22,Fact 6905,UUID 1,VIGENTE,Cliente 23,INFORMACION_PROTEGIDA,Prod 156,1.0,8.33,8.16,79.32,12.94,93.41,G03 ,PUE
Tienda 1,2023-08-22,Fact 6905,UUID 1,VIGENTE,Cliente 23,INFORMACION_PROTEGIDA,Prod 407,1.0,8.17,8.21,80.52,12.93,92.84,G03 ,PUE
Tienda 1,2023-08-22,Fact 6905,UUID 1,VIGENTE,Cliente 23,INFORMACION_PROTEGIDA,Prod 408,72.0,0.54,39.09,79.98,12.72,91.54,G03 ,PUE
Tienda 1,2023-08-23,Fact 6906,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 409,1.0,69.77,69.75,68.62,11.02,81.06,G03 ,PUE
Tienda 1,2023-08-23,Fact 6907,UUID 1,VIGENTE,Cliente 66,INFORMACION_PROTEGIDA,Prod 410,1.0,166.42,166.38,246.32,39.17,285.31,G03 ,PUE
Tienda 1,2023-08-23,Fact 6907,UUID 1,VIGENTE,Cliente 66,INFORMACION_PROTEGIDA,Prod 411,2.0,32.55,65.18,247.6,39.49,287.2,G03 ,PUE
Tienda 1,2023-08-23,Fact 6907,UUID 1,VIGENTE,Cliente 66,INFORMACION_PROTEGIDA,Prod 412,1.0,15.98,15.7,247.03,39.38,284.35,G03 ,PUE
Tienda 1,2023-08-23,Fact 6908,UUID 1,VIGENTE,Cliente 67,INFORMACION_PROTEGIDA,Prod 233,1.0,37.62,37.37,145.54,23.08,168.42,G03 ,PUE
Tienda 1,2023-08-23,Fact 6908,UUID 1,VIGENTE,Cliente 67,INFORMACION_PROTEGIDA,Prod 147,2.0,7.2,14.1,146.3,23.14,169.73,G03 ,PUE
Tienda 1,2023-08-23,Fact 6908,UUID 1,VIGENTE,Cliente 67,INFORMACION_PROTEGIDA,Prod 413,2.0,47.14,95.25,145.71,22.98,169.47,G03 ,PUE
Tienda 1,2023-08-23,Fact 6909,UUID 1,VIGENTE,Cliente 18,INFORMACION_PROTEGIDA,Prod 414,1.0,187.78,189.63,191.39,30.23,221.48,G03 ,PUE
Tienda 1,2023-08-23,Fact 6910,UUID 1,VIGENTE,Cliente 8,INFORMACION_PROTEGIDA,Prod 415,1.0,28.9,28.82,50.79,8.21,59.16,G03 ,PUE
Tienda 1,2023-08-23,Fact 6910,UUID 1,VIGENTE,Cliente 8,INFORMACION_PROTEGIDA,Prod 206,1.0,23.12,23.26,51.04,8.19,59.8,G03 ,PUE
Tienda 1,2023-08-23,Fact 6911,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 416,1.0,40.59,39.77,46.04,7.32,52.55,G03 ,PUE
Tienda 1,2023-08-23,Fact 6911,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 417,1.0,5.48,5.54,45.4,7.35,52.59,G03 ,PUE
Tienda 1,2023-08-23,Fact 6912,UUID 1,VIGENTE,Cliente 68,INFORMACION_PROTEGIDA,Prod 418,2.0,271.41,549.21,541.32,86.89,639.58,G03 ,PUE
Tienda 1,2023-08-23,Fact 6913,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 366,1.0,24.89,25.35,25.28,4.01,29.24,G03 ,PUE
Tienda 1,2023-08-24,Fact 6914,UUID 1,VIGENTE,Cliente 19,INFORMACION_PROTEGIDA,Prod 419,20.0,2.2,44.07,44.3,6.96,50.2,G03 ,PUE
Tienda 1,2023-08-24,Fact 6915,UUID 1,VIGENTE,Cliente 69,INFORMACION_PROTEGIDA,Prod 420,1.0,3.79,3.86,176.05,27.94,199.64,G03 ,PUE
Tienda 1,2023-08-24,Fact 6915,UUID 1,VIGENTE,Cliente 69,INFORMACION_PROTEGIDA,Prod 421,1.0,113.97,111.17,171.83,28.12,200.58,G03 ,PUE
Tienda 1,2023-08-24,Fact 6915,UUID 1,VIGENTE,Cliente 69,INFORMACION_PROTEGIDA,Prod 422,1.0,56.94,57.45,175.17,27.92,200.93,G03 ,PUE
Tienda 1,2023-08-24,Fact 6916,UUID 1,VIGENTE,Cliente 70,INFORMACION_PROTEGIDA,Prod 4,50.0,2.85,143.96,143.23,22.66,165.61,G03 ,PUE
Tienda 1,2023-08-24,Fact 6917,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 423,1.0,179.2,178.57,493.27,80.36,571.04,G03 ,PUE
Tienda 1,2023-08-24,Fact 6917,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 424,1.0,321.41,313.81,491.8,79.74,570.09,G03 ,PUE
Tienda 1,2023-08-24,Fact 6918,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 425,1.0,26.89,26.92,27.21,4.26,31.24,G03 ,PUE
Tienda 1,2023-08-24,Fact 6919,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 139,1.0,14.45,14.19,14.26,2.29,16.75,G03 ,PUE
Tienda 1,2023-08-25,Fact 6920,UUID 1,VIGENTE,Cliente 71,INFORMACION_PROTEGIDA,Prod 409,1.0,70.56,70.31,184.43,29.57,210.11,G03 ,PUE
Tienda 1,2023-08-25,Fact 6920,UUID 1,VIGENTE,Cliente 71,INFORMACION_PROTEGIDA,Prod 426,1.0,57.95,57.83,181.39,29.61,210.53,G03 ,PUE
Tienda 1,2023-08-25,Fact 6920,UUID 1,VIGENTE,Cliente 71,INFORMACION_PROTEGIDA,Prod 427,1.0,54.95,54.06,180.01,29.58,214.47,G03 ,PUE
Tienda 1,2023-08-25,Fact 6921,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 168,200.0,0.18,34.57,34.59,5.58,40.75,G03 ,PUE
Tienda 1,2023-08-25,Fact 6922,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 428,4.0,1.08,4.39,48.91,7.83,56.2,G03 ,PUE
Tienda 1,2023-08-25,Fact 6922,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 429,4.0,1.63,6.61,48.79,7.78,55.61,G03 ,PUE
Tienda 1,2023-08-25,Fact 6922,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 430,2.0,9.33,18.58,47.97,7.76,56.56,G03 ,PUE
Tienda 1,2023-08-25,Fact 6922,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 431,2.0,9.18,18.7,48.21,7.76,55.75,G03 ,PUE
Tienda 1,2023-08-25,Fact 6923,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 407,2.0,8.2,16.68,16.69,2.61,19.15,G03 ,PUE
Tienda 1,2023-08-26,Fact 6924,UUID 1,VIGENTE,Cliente 37,INFORMACION_PROTEGIDA,Prod 432,1.0,19.84,19.81,19.9,3.12,22.71,G03 ,PUE
Tienda 1,2023-08-26,Fact 6925,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 433,1.0,38.3,37.91,131.53,21.61,154.58,G03 ,PUE
Tienda 1,2023-08-26,Fact 6925,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 434,2.0,11.05,22.04,134.46,21.25,156.76,G03 ,PUE
Tienda 1,2023-08-26,Fact 6925,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 435,1.0,26.62,27.0,134.3,21.34,153.14,G03 ,PUE
Tienda 1,2023-08-26,Fact 6925,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 371,1.0,46.28,47.11,134.77,21.4,152.51,G03 ,PUE
Tienda 1,2023-08-26,Fact 6926,UUID 1,VIGENTE,Cliente 10,INFORMACION_PROTEGIDA,Prod 436,2.0,57.8,115.82,113.47,18.2,134.39,G03 ,PUE
Tienda 1,2023-08-26,Fact 6927,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 437,1.0,41.94,42.15,90.54,14.41,105.68,G03 ,PUE
Tienda 1,2023-08-26,Fact 6927,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 438,0.1,57.34,5.79,91.52,14.43,105.21,G03 ,PUE
Tienda 1,2023-08-26,Fact 6927,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 200,1.0,27.49,27.25,88.94,14.57,104.75,G03 ,PUE
Tienda 1,2023-08-26,Fact 6927,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 439,1.0,14.67,14.71,91.12,14.33,105.62,G03 ,PUE
Tienda 1,2023-08-27,Fact 6928,UUID 1,VIGENTE,Cliente 72,INFORMACION_PROTEGIDA,Prod 440,1.0,934.51,937.87,921.84,147.14,1075.14,G03 ,PUE
Tienda 1,2023-08-27,Fact 6929,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 441,1.0,31.7,31.08,90.26,14.33,104.0,G03 ,PUE
Tienda 1,2023-08-27,Fact 6929,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 154,1.0,17.92,18.13,88.94,14.26,102.43,G03 ,PUE
Tienda 1,2023-08-27,Fact 6929,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 442,1.0,15.68,16.11,89.19,14.12,104.26,G03 ,PUE
Tienda 1,2023-08-27,Fact 6929,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 20,1.0,19.59,19.95,88.72,14.18,103.25,G03 ,PUE
Tienda 1,2023-08-27,Fact 6929,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 443,4.0,1.08,4.39,88.05,14.15,104.18,G03 ,PUE
Tienda 1,2023-08-28,Fact 6930,UUID 1,VIGENTE,Cliente 73,INFORMACION_PROTEGIDA,Prod 444,5.84,74.3,432.54,437.73,68.91,495.34,G03 ,PUE
Tienda 1,2023-08-28,Fact 6931,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 128,1.0,57.79,59.16,58.87,9.37,67.2,G03 ,PUE
Tienda 1,2023-08-28,Fact 6932,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 35,1.0,49.69,50.27,50.47,8.15,58.62,G03 ,PUE
Tienda 1,2023-08-28,Fact 6933,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 445,1.0,21.36,21.31,36.87,5.98,43.72,G03 ,PUE
Tienda 1,2023-08-28,Fact 6933,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 446,1.0,15.93,15.76,37.53,6.02,43.24,G03 ,PUE
Tienda 1,2023-08-28,Fact 6934,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 447,2.0,87.53,174.08,174.99,27.97,202.17,G03 ,PUE
Tienda 1,2023-08-28,Fact 6935,UUID 1,VIGENTE,Cliente 74,INFORMACION_PROTEGIDA,Prod 448,2.0,20.09,40.13,41.05,6.42,46.55,G03 ,PUE
Tienda 1,2023-08-28,Fact 6936,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 449,4.0,13.02,53.16,52.25,8.4,60.74,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 450,2.0,35.48,70.2,233.37,36.43,264.06,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 451,2.0,18.46,37.27,230.67,36.59,263.94,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 452,2.0,9.38,18.67,229.9,37.07,268.41,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 86,1.0,25.02,25.25,227.8,37.45,265.46,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 453,1.0,13.54,13.54,231.32,36.63,266.3,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 156,1.0,8.27,8.26,230.45,36.92,267.11,G03 ,PUE
Tienda 1,2023-08-28,Fact 6937,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 454,1.0,57.81,58.07,232.74,36.74,267.03,G03 ,PUE
Tienda 1,2023-08-29,Fact 6938,UUID 1,VIGENTE,Cliente 75,INFORMACION_PROTEGIDA,Prod 455,1.0,101.36,99.99,198.71,31.71,231.15,G03 ,PUE
Tienda 1,2023-08-29,Fact 6938,UUID 1,VIGENTE,Cliente 75,INFORMACION_PROTEGIDA,Prod 355,1.0,26.46,26.92,197.67,32.05,229.8,G03 ,PUE
Tienda 1,2023-08-29,Fact 6938,UUID 1,VIGENTE,Cliente 75,INFORMACION_PROTEGIDA,Prod 10,0.5,21.15,10.55,196.38,32.17,228.19,G03 ,PUE
Tienda 1,2023-08-29,Fact 6938,UUID 1,VIGENTE,Cliente 75,INFORMACION_PROTEGIDA,Prod 456,1.0,25.37,25.26,200.06,31.68,230.68,G03 ,PUE
Tienda 1,2023-08-29,Fact 6938,UUID 1,VIGENTE,Cliente 75,INFORMACION_PROTEGIDA,Prod 457,1.0,10.51,10.56,198.35,32.13,231.06,G03 ,PUE
Tienda 1,2023-08-29,Fact 6938,UUID 1,VIGENTE,Cliente 75,INFORMACION_PROTEGIDA,Prod 366,1.0,24.88,25.13,196.63,31.8,233.61,G03 ,PUE
Tienda 1,2023-08-29,Fact 6939,UUID 1,VIGENTE,Cliente 16,INFORMACION_PROTEGIDA,Prod 458,1.0,117.69,119.95,118.48,18.75,137.21,G03 ,PUE
Tienda 1,2023-08-30,Fact 6940,UUID 1,VIGENTE,Cliente 30,INFORMACION_PROTEGIDA,Prod 71,10.0,5.46,55.28,125.51,20.27,146.25,G03 ,PUE
Tienda 1,2023-08-30,Fact 6940,UUID 1,VIGENTE,Cliente 30,INFORMACION_PROTEGIDA,Prod 459,2.0,34.85,69.82,126.5,19.89,147.09,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 257,8.0,0.55,4.39,244.03,38.71,278.43,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 460,18.0,0.27,4.97,239.32,38.2,282.05,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 461,3.0,28.92,85.75,239.91,38.87,278.25,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 462,1.0,41.06,40.97,238.73,38.62,279.71,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 463,4.0,6.05,24.0,242.76,39.05,277.64,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 209,20.0,0.55,11.09,240.11,38.53,280.8,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 464,10.0,4.27,42.56,241.69,38.48,280.63,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 465,1.0,3.32,3.25,240.82,38.49,280.56,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 183,26.0,0.54,14.08,241.26,38.56,280.54,G03 ,PUE
Tienda 1,2023-08-30,Fact 6941,UUID 1,VIGENTE,Cliente 65,INFORMACION_PROTEGIDA,Prod 51,20.0,0.55,10.96,239.94,38.57,280.68,G03 ,PUE
Tienda 1,2023-08-30,Fact 6942,UUID 1,VIGENTE,Cliente 14,INFORMACION_PROTEGIDA,Prod 466,1.0,79.15,78.7,78.47,12.72,91.55,G03 ,PUE
Tienda 1,2023-08-30,Fact 6943,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 467,1.0,93.16,93.73,91.82,14.75,108.78,G03 ,PUE
Tienda 1,2023-08-31,Fact 6944,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 4,50.0,2.83,143.36,141.44,22.71,167.44,G03 ,PUE
Tienda 1,2023-08-31,Fact 6945,UUID 1,VIGENTE,Cliente 76,INFORMACION_PROTEGIDA,Prod 12,4.0,7.05,28.31,134.05,21.63,155.03,G03 ,PUE
Tienda 1,2023-08-31,Fact 6945,UUID 1,VIGENTE,Cliente 76,INFORMACION_PROTEGIDA,Prod 11,4.0,7.09,28.14,135.55,21.58,156.77,G03 ,PUE
Tienda 1,2023-08-31,Fact 6945,UUID 1,VIGENTE,Cliente 76,INFORMACION_PROTEGIDA,Prod 468,1.0,77.65,77.55,134.04,21.8,157.62,G03 ,PUE
Tienda 1,2023-08-31,Fact 6946,UUID 1,VIGENTE,Cliente 77,INFORMACION_PROTEGIDA,Prod 469,1.0,89.1,89.21,91.31,14.58,105.25,G03 ,PUE
Tienda 1,2023-08-31,Fact 6947,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 470,3.0,1.63,4.93,9.45,1.51,10.69,G03 ,PUE
Tienda 1,2023-08-31,Fact 6947,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 471,4.0,1.08,4.36,9.28,1.48,10.65,G03 ,PUE
Tienda 1,2023-08-31,Fact 6948,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 472,2.0,23.71,47.64,258.81,41.2,300.31,G03 ,PUE
Tienda 1,2023-08-31,Fact 6948,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 473,8.0,8.08,64.06,256.16,41.46,297.45,G03 ,PUE
Tienda 1,2023-08-31,Fact 6948,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 473,2.0,9.26,18.76,255.95,41.54,301.09,G03 ,PUE
Tienda 1,2023-08-31,Fact 6948,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 474,20.0,0.55,11.04,259.88,41.95,302.57,G03 ,PUE
Tienda 1,2023-08-31,Fact 6948,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 475,20.0,0.55,11.04,258.85,41.59,300.19,G03 ,PUE
Tienda 1,2023-08-31,Fact 6948,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 476,1.0,106.85,105.44,260.67,41.44,301.7,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 17,4.0,20.4,82.27,677.8,109.77,791.98,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 220,1.0,13.29,13.04,683.68,106.79,774.65,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 477,2.0,23.0,45.4,668.52,106.9,791.84,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 461,1.0,28.15,28.75,677.71,109.53,777.91,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 478,1.0,9.2,9.34,668.48,107.96,777.95,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 479,1.0,124.57,124.62,666.7,109.18,786.62,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 480,1.0,77.14,77.32,680.95,107.98,774.32,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 481,1.72,81.12,142.38,681.01,106.78,786.1,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 482,1.0,19.56,19.51,666.48,106.63,793.12,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 483,3.0,5.53,16.38,675.17,107.15,786.9,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 484,2.0,20.55,41.78,682.34,109.42,778.12,G03 ,PUE
Tienda 1,2023-08-31,Fact 6949,UUID 1,VIGENTE,Cliente 45,INFORMACION_PROTEGIDA,Prod 31,4.0,17.83,72.77,670.8,107.52,779.82,G03 ,PUE
